	logFC	logCPM	PValue	FDR	sig	color
OTU321	0	9.222697493	1	1	none	none
OTU322	0	9.222697493	1	1	none	none
OTU326	0	9.222697493	1	1	none	none
OTU334	0	9.222697493	1	1	none	none
OTU339	0	9.222697493	1	1	none	none
OTU340	0	9.222697493	1	1	none	none
OTU341	0	9.222697493	1	1	none	none
OTU342	0	9.222697493	1	1	none	none
OTU345	0	9.222697493	1	1	none	none
OTU348	0	9.222697493	1	1	none	none
OTU356	0	9.222697493	1	1	none	none
OTU357	0	9.222697493	1	1	none	none
OTU361	0	9.222697493	1	1	none	none
OTU367	0	9.222697493	1	1	none	none
OTU368	0	9.222697493	1	1	none	none
OTU369	0	9.222697493	1	1	none	none
OTU377	0	9.222697493	1	1	none	none
OTU381	0	9.222697493	1	1	none	none
OTU386	0	9.222697493	1	1	none	none
OTU387	0	9.222697493	1	1	none	none
OTU389	0	9.222697493	1	1	none	none
OTU392	0	9.222697493	1	1	none	none
OTU393	0	9.222697493	1	1	none	none
OTU394	0	9.222697493	1	1	none	none
OTU398	0	9.222697493	1	1	none	none
OTU399	0	9.222697493	1	1	none	none
OTU400	0	9.222697493	1	1	none	none
OTU402	0	9.222697493	1	1	none	none
OTU405	0	9.222697493	1	1	none	none
OTU406	0	9.222697493	1	1	none	none
OTU410	0	9.222697493	1	1	none	none
OTU415	0	9.222697493	1	1	none	none
OTU418	0	9.222697493	1	1	none	none
OTU425	0	9.222697493	1	1	none	none
OTU428	0	9.222697493	1	1	none	none
OTU429	0	9.222697493	1	1	none	none
OTU431	0	9.222697493	1	1	none	none
OTU436	0	9.222697493	1	1	none	none
