	ct1	ct2	ct3	ct4	ct5	ct6	yl1	yl2	yl3	yl4	yl5	yl6	ml1	ml2	ml3	ml4	ml5	ml6	xl1	xl2	xl3	xl4	xl5	xl6	hl1	hl2	hl3	hl4	hl5	hl6
OTU174	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	1	2
OTU175	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	2	0	0	0
OTU176	0	3	0	4	1	2	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU177	0	4	0	0	1	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU178	4	4	8	6	6	9	1	0	3	2	0	2	1	2	0	1	0	0	0	0	2	1	0	1	0	1	1	3	0	0
OTU179	2	0	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU180	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	1	1	0	0
OTU181	0	0	2	1	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU182	0	0	0	0	0	0	1	0	8	0	0	0	0	0	1	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0
OTU183	0	0	1	0	0	1	3	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0
OTU184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0
OTU185	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
OTU187	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0
OTU188	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	2	0	2	0	0	0
OTU189	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	1	1	1	0	0
OTU190	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0
OTU191	2	5	1	1	0	3	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
OTU192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
OTU193	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	3	2	0	1
OTU194	0	0	2	2	2	1	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
OTU195	0	1	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0
OTU196	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1
OTU197	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	1	0	0	0	0	0	3	1	1	0	0
