	logFC	logCPM	PValue	FDR	sig	color
OTU596	1.332706232	9.398380306	1	1	none	none
OTU623	1.332706232	9.398380306	1	1	none	none
OTU645	1.332706232	9.398380306	1	1	none	none
OTU662	1.332706232	9.398380306	1	1	none	none
OTU685	1.332706232	9.398380306	1	1	none	none
OTU735	1.332706232	9.398380306	1	1	none	none
OTU742	1.332706232	9.398380306	1	1	none	none
OTU788	1.332706232	9.398380306	1	1	none	none
OTU870	1.332706232	9.398380306	1	1	none	none
OTU963	1.332706232	9.398380306	1	1	none	none
OTU1059	1.332706232	9.398380306	1	1	none	none
OTU1110	1.332706232	9.398380306	1	1	none	none
OTU1141	1.332706232	9.398380306	1	1	none	none
OTU1263	1.332706232	9.398380306	1	1	none	none
OTU1317	1.332706232	9.398380306	1	1	none	none
OTU1661	1.332706232	9.398380306	1	1	none	none
OTU1766	1.332706232	9.398380306	1	1	none	none
OTU1971	1.332706232	9.398380306	1	1	none	none
OTU2013	1.332706232	9.398380306	1	1	none	none
OTU2199	1.332706232	9.398380306	1	1	none	none
OTU321	1.330307494	9.397403971	1	1	none	none
OTU345	1.330307494	9.397403971	1	1	none	none
OTU387	1.330307494	9.397403971	1	1	none	none
OTU424	1.330307494	9.397403971	1	1	none	none
OTU443	1.330307494	9.397403971	1	1	none	none
OTU585	1.330307494	9.397403971	1	1	none	none
OTU710	1.330307494	9.397403971	1	1	none	none
OTU764	1.330307494	9.397403971	1	1	none	none
OTU880	1.330307494	9.397403971	1	1	none	none
OTU904	1.330307494	9.397403971	1	1	none	none
OTU936	1.330307494	9.397403971	1	1	none	none
OTU1171	1.330307494	9.397403971	1	1	none	none
OTU1266	1.330307494	9.397403971	1	1	none	none
OTU1340	1.330307494	9.397403971	1	1	none	none
OTU1424	1.330307494	9.397403971	1	1	none	none
OTU1526	1.330307494	9.397403971	1	1	none	none
OTU2014	1.330307494	9.397403971	1	1	none	none
OTU148	1.329295369	9.396999847	1	1	none	none
OTU257	1.329295369	9.396999847	1	1	none	none
OTU405	1.329295369	9.396999847	1	1	none	none
OTU478	1.329295369	9.396999847	1	1	none	none
OTU522	1.329295369	9.396999847	1	1	none	none
OTU524	1.329295369	9.396999847	1	1	none	none
OTU534	1.329295369	9.396999847	1	1	none	none
OTU554	1.329295369	9.396999847	1	1	none	none
OTU705	1.329295369	9.396999847	1	1	none	none
OTU862	1.329295369	9.396999847	1	1	none	none
OTU1005	1.329295369	9.396999847	1	1	none	none
OTU1036	1.329295369	9.396999847	1	1	none	none
OTU1058	1.329295369	9.396999847	1	1	none	none
OTU1076	1.329295369	9.396999847	1	1	none	none
OTU1087	1.329295369	9.396999847	1	1	none	none
OTU1254	1.329295369	9.396999847	1	1	none	none
OTU1286	1.329295369	9.396999847	1	1	none	none
OTU110	1.093797257	10.1054125	0.225043006	1	none	none
OTU92	1.065832053	9.658125311	0.380154705	1	none	none
OTU207	0.892967765	9.509506163	1	1	none	none
OTU990	0.886904911	9.512691163	1	1	none	none
OTU378	0.88364835	9.509678828	1	1	none	none
OTU2302	0.88330178	9.509766681	1	1	none	none
OTU268	0.882363377	9.509419717	1	1	none	none
OTU95	0.878469744	10.22163122	0.208134254	1	none	none
OTU1739	0.877556784	9.50742771	1	1	none	none
OTU720	0.876842533	9.506885847	1	1	none	none
OTU1209	0.726137079	9.61613333	0.691342343	1	none	none
OTU107	0.724911514	9.617857749	0.691342343	1	none	none
